0.00517006838359 Denver Intl, United States
0.00505766502296 Chicago Ohare Intl, United States
0.00500482708084 Los Angeles Intl, United States
0.00393966074641 Hartsfield Jackson Atlanta Intl, United States
0.00378828883876 Sydney Intl, Australia
0.00376839227725 Heathrow, United Kingdom
0.00375956012551 Changi Intl, Singapore
0.00372941599777 Capital Intl, China
0.00366874919546 Charles De Gaulle, France
0.00361568908509 Dallas Fort Worth Intl, United States
0.00357316824003 Frankfurt Main, Germany
0.00355189200641 Domododevo, Russia
0.00334152930815 John F Kennedy Intl, United States
0.00331427040796 Schiphol, Netherlands
0.00315575625522 Lester B Pearson Intl, Canada
0.00312098103656 Dubai Intl, United Arab Emirates
0.00308364423478 Incheon Intl, South Korea
0.00300047612882 Ataturk, Turkey
0.0029911088662 Eldorado Intl, Colombia
0.00289706179227 Pudong, China
0.00283888289022 Barcelona, Spain
0.00279017472915 Licenciado Benito Juarez Intl, Mexico
0.00273347428152 Hong Kong Intl, Hong Kong
0.00272060681914 Brisbane Intl, Australia
0.00268237315358 Suvarnabhumi Intl, Thailand
0.00264201352871 Miami Intl, United States
0.0026025572167 Ninoy Aquino Intl, Philippines
0.00258587788671 Minneapolis St Paul Intl, United States
0.00257409290345 George Bush Intercontinental, United States
0.00256737514401 Indira Gandhi Intl, India
0.00253896088513 Charlotte Douglas Intl, United States
0.00253206638822 Aeroparque Jorge Newbery, Argentina
0.00252283115828 Fiumicino, Italy
0.00251909104601 San Francisco Intl, United States
0.00251648947471 Kuala Lumpur Intl, Malaysia
0.0024894199306 Seattle Tacoma Intl, United States
0.00246780944863 Gatwick, United Kingdom
0.00245854804801 Pulkovo, Russia
0.00242430075651 Barajas, Spain
0.00241318712992 Franz Josef Strauss, Germany
0.00237179100324 Johannesburg Intl, South Africa
0.00235720891919 Narita Intl, Japan
0.00231610674688 Schwechat, Austria
0.00224913404757 Mc Carran Intl, United States
0.00224554942912 Guarulhos Gov Andre Franco Montouro, Brazil
0.00223709052057 Vancouver Intl, Canada
0.00223643263991 Baiyun Intl, China
0.00220111375632 Chhatrapati Shivaji Intl, India
0.00214110315806 Soekarno Hatta Intl, Indonesia
